file	title	year	words	publication
surleau2	Sur l’eau	1875	2239	Guy de Maupassant : Sur l’eau. Texte publié sous le titre En canot dans Le Bulletin français du 10 mars 1876, puis publié dans le recueil La maison Tellier (pp. 67-82), paru en mai 1881. Il a également été repris dans La Revue des journaux et des livres du 10 janvier 1886 privé de ses 8 premiers paragraphes, dans le recueil Contes choisis (pp. 261-273) et dans L’Intransigeant illustré du 25 juin 1891. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
page	Une page d’histoire inédite	1875	2339	Guy de Maupassant : Une page d’histoire inédite. Texte publié dans Le Gaulois du 27 octobre 1880.
printemps2	Au printemps	1881	2225	Guy de Maupassant : Au printemps. Texte publié pour la première fois dans le recueil La maison Tellier (pp. 247-263), paru le 21 avril 1881. Il a également été repris dans La Vie populaire du 9 octobre 1881, dans La Lecture du 25 juin 1888, dans le supplément littéraire de La Lanterne du 3 mars 1889 et dans Gil Blas illustré du 7 juin 1891. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
famille2	En famille	1881	9427	Guy de Maupassant : En famille. Texte publié dans La Nouvelle Revue du 15 février 1881, puis publié dans le recueil La maison Tellier (pp. 131-192). Il a également été publié dans Le Voleur du 1er au 15 septembre 1882. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
corse	Histoire corse	1881	1777	Guy de Maupassant : Histoire corse. Texte publié dans Gil Blas du 1er décembre 1881, sous la signature de Maufrigneuse.
chien	Histoire d’un chien	1881	1525	Guy de Maupassant : Histoire d’un chien. Texte publié dans Le Gaulois du 2 juin 1881.
ferme	Histoire d’une fille de ferme	1881	6829	Guy de Maupassant : Histoire d’une fille de ferme. Texte publié dans La Revue politique et littéraire du 26 mars 1881, puis publié dans le recueil La maison Tellier (pp. 83-130). Il a également été repris dans La Vie populaire du 15 mai 1881, dans le recueil Contes et nouvelles (Charpentier, 1885), dans le recueil Histoire d’une fille de ferme (pp. 1-43) et dans La Lecture du 25 juillet 1891. Enfin, le supplément du Gaulois du 24 avril 1881 en a publié le chapitre I. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
femmepaul	La femme de Paul	1881	6384	Guy de Maupassant : La femme de Paul. Texte publié pour la première fois dans le recueil La maison Tellier (pp. 265-308), paru le 21 avril 1881. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
tellier	La maison Tellier	1881	9987	Guy de Maupassant : La maison Tellier. Texte publié pour la première fois dans le recueil auquel il donne son nom, La maison Tellier (pp. 1-65), paru le 21 avril 1881. Il a également été repris dans le supplément littéraire de La Lanterne du 3 au 21 février 1889, dans Gil Blas illustré des 9, 16 et 23 octobre 1892 et dans le recueil Contes choisis (pp. 1-44), paru en octobre 1892. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
opinion	Opinion publique	1881	1718	Guy de Maupassant : Opinion publique. Texte publié dans Le Gaulois du 21 mars 1881.
printemps	Par un soir de printemps	1881	1777	Guy de Maupassant : Par un soir de printemps. Texte publié dans Le Gaulois du 7 mai 1881, puis publié dans le recueil posthume Le père Milon.
aventure	Une aventure parisienne	1881	2279	Guy de Maupassant : Une aventure parisienne. Texte publié sous le titre Une épreuve dans Gil Blas du 22 décembre 1881, sous la signature de Maufrigneuse, puis publié dans le recueil Mademoiselle Fifi (pp. 117-140). Il a également été repris dans La Vie populaire du 14 août 1884 sous le titre Une épreuve.
campagne	Une partie de campagne	1881	4170	Guy de Maupassant : Une partie de campagne. Texte publié dans La Vie moderne du 2 et 9 avril 1881, puis publié dans le recueil La maison Tellier (pp. 217-246). Il a également été repris dans La Vie populaire du 18 août 1881, dans le supplément littéraire de La Lanterne du 17 février 1889, dans Gil Blas illustré du 14 août 1892 et dans le recueil Contes choisis (pp. 1-18), paru en 1892. Le manuscrit. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
epaves	Épaves	1881	1589	Guy de Maupassant : Épaves. Texte publié dans Le Gaulois du 9 décembre 1881.
temps	Autres temps	1882	1014	Guy de Maupassant : Autres temps. Texte publié dans Gil Blas du 14 juin 1882, sous la signature de Maufrigneuse.
auxchamps	Aux champs	1882	2003	Guy de Maupassant : Aux champs. Texte publié dans Le Gaulois du 31 octobre 1882, puis publié dans le recueil Les contes de la bécasse (pp. 197-214). Il a également été repris dans Le Voleur du 11 octobre 1883 sous le titre L’enfant vendu, dans La Vie populaire du 10 janvier 1884, dans le recueil Contes choisis (pp. 209-220), dans L’Intransigeant illustré du 5 mars 1891 et dans le supplément illustré du Petit Journal du 20 juin 1891.
morin	Ce cochon de Morin	1882	4106	Guy de Maupassant : Ce cochon de Morin. Texte publié dans Gil Blas du 21 novembre 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 13-42). Il a également été repris dans La Vie populaire du 21 octobre 1883 et dans Gil Blas illustré du 12 mars 1893.
clair2	Clair de lune	1882	1311	Guy de Maupassant : Clair de lune. Texte publié dans Le Gaulois du 1er juillet 1882, puis publié dans le recueil posthume Le père Milon. Il a également été repris dans L’Écho de la semaine du 6 janvier 1889.
clair	Clair de lune	1882	1841	Guy de Maupassant : Clair de lune. Texte publié dans Gil Blas du 19 octobre 1882, sous la signature de Maufrigneuse, puis publié dans le recueil auquel il donne son nom, Clair de lune (pp. 7-16). Il a également été repris dans La Vie populaire du 20 janvier 1884, dans La Lune troyenne du 15 juillet 1888, dans le supplément littéraire de La Lanterne du 23 décembre 1888, dans L’Intransigeant illustré du 6 août 1891 et dans Gil Blas illustré du 30 avril 1893.
confession4	Confession d’une femme	1882	1580	Guy de Maupassant : Confessions d’une femme. Texte publié dans Gil Blas du 28 juin 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
conflits	Conflits pour rire	1882	1301	Guy de Maupassant : Conflits pour rire. Texte publié dans Gil Blas du 1er mai 1882, sous la signature de Maufrigneuse. Ce texte, que l’on rapprocherait plutôt de la chronique d’actualité, est cependant publié en tant que conte par la Bibliothèque de La Pléiade, sa partie la plus importante étant bien un joyeux conte normand.
noel	Conte de Noël	1882	1836	Guy de Maupassant : Conte de Noël. Texte publié dans Le Gaulois du 25 décembre 1882, puis publié dans le recueil Clair de lune (pp. 55-64). Il a également été repris dans La Lecture du 25 décembre 1888 et dans Le Voleur du 25 décembre 1890.
correspondance	Correspondance	1882	1775	Guy de Maupassant : Correspondance. Texte publié dans Gil Blas du 30 août 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
voyage2	En voyage	1882	1637	Guy de Maupassant : En voyage. Texte publié dans Gil Blas du 10 mai 1882, sous la signature de Maufrigneuse.
farcenormande	Farce normande	1882	1650	Guy de Maupassant : Farce normande. Texte publié dans Gil Blas du 8 août 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 101-114). Il a également été repris dans La Vie populaire du 7 octobre 1883, dans La Lune troyenne du 27 avril 1890 et dans L’Intransigeant illustré du 16 octobre 1890.
fou	Fou ?	1882	1501	Guy de Maupassant : Fou ? Texte publié dans Gil Blas du 23 août 1882, sous la signature Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 143-155).
histoire	Histoire vraie	1882	1848	Guy de Maupassant : Histoire vraie. Texte publié dans Le Gaulois du 18 juin 1882, puis publié dans le recueil Contes du jour et de la nuit (pp. 295-308). Il a également été repris dans Gil Blas du 20 janvier 1885 sous le titre Mirza et signé Maufrigneuse, dans La Vie populaire du 7 juin 1885 et dans le recueil Histoire d’une fille de ferme (pp. 137-148).
becasse	La bécasse	1882	710	Guy de Maupassant : La bécasse. Texte publié dans Le Gaulois du 5 décembre 1882. Il précédait celui de La folle sous le titre commun La folle. Publié ensuite dans le recueil Les contes de la bécasse (pp. 5-12).
buche	La bûche	1882	1807	Guy de Maupassant : La bûche. Texte publié dans Gil Blas du 26 janvier 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Mademoiselle Fifi (pp. 47-65). Il a également été repris dans La Semaine populaire du 12 février 1888, dans La Lune troyenne du 3 novembre 1889, dans L’Intransigeant illustré du 2 octobre 1890 et dans L’Écho de Paris du 5 juillet 1891.
lafolle	La folle	1882	1083	Guy de Maupassant : La folle. Texte publié dans Le Gaulois du 5 décembre 1882, puis publié dans le recueil Les contes de la bécasse (pp. 43-52). Il a également été repris dans La Vie populaire du 9 décembre 1883, dans le recueil Contes choisis (pp. 185-192), dans La Lune troyenne du 4 mars 1888, dans Le Voleur du 22 mars 1888, dans le supplément littéraire illustré du Petit Parisien du 1er juin 1890 et dans L’Intransigeant illustré du 2 avril 1891.
legende	La légende du Mont Saint-Michel	1882	1465	Guy de Maupassant : La légende du Mont-Saint-Michel. Texte publié dans Gil Blas du 19 décembre 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Clair de lune (pp. 91-99). Il a également été repris dans La Lecture du 10 septembre 1888, dans les Annales politiques et littéraires du 23 décembre 1888 et dans le supplément littéraire de La Lanterne du 25 avril 1889.
lapeur	La peur	1882	2207	Guy de Maupassant : La peur. Texte publié dans Le Gaulois du 23 octobre 1882, puis publié dans le recueil Les contes de la bécasse (pp. 83-100). Il a également été repris dans La Revue du dimanche des 29 octobre et 5 novembre 1882, dans La Vie populaire du 4 novembre 1883, dans La Semaine populaire du 19 juillet 1885, dans le recueil Contes choisis (pp. 71-83), dans la Revue pour tous du 15 juin 1889, dans L’Intransigeant illustré du 15 octobre 1891, dans Le Bon Journal du 19 novembre 1891, dans le supplément littéraire illustré de L’Écho de Paris du 20 décembre 1891, dans Le Magasin littéraire de 1891 et dans le supplément littéraire du Figaro du 16 janvier 1892.
relique	La relique	1882	1641	Guy de Maupassant : La relique. Texte publié dans Gil Blas du 17 octobre 1882, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 115-129). Il a également été repris dans La Semaine populaire du 11 mars 1888.
rempailleuse	La rempailleuse	1882	2342	Guy de Maupassant : La rempailleuse. Texte publié dans Le Gaulois du 17 septembre 1882, puis publié dans le recueil Les contes de la bécasse (pp. 131-148). Il a également été repris dans Le Voleur du 20 octobre 1882, dans L’Intransigeant illustré du 9 juillet 1891, dans Le Voleur du 22 octobre 1891, dans La Vie de famille du 25 octobre 1891 et dans Le Magasin littéraire de 1892.
roche	La roche aux guillemots	1882	1396	Guy de Maupassant : La roche aux guillemots. Texte publié dans Le Gaulois du 14 avril 1882, puis publié dans le recueil Contes du jour et de la nuit (pp. 263-274). Il a également été repris dans Le Bon Journal du 26 avril 1885, dans La Vie populaire du 16 février 1888, dans le supplément littéraire illustré du Petit Parisien du 12 avril 1891 et dans le supplément illustré du Petit Journal du 25 juillet 1891.
rouille	La rouille	1882	2373	Guy de Maupassant : La rouille. Texte publié sous le titre M. de Coutelier dans Gil Blas du 14 septembre 1882, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 53-71). Il a également été repris dans La Semaine populaire des 15 et 22 avril 1888 et dans La Lune troyenne du 24 novembre 1889.
veillee	La veillée	1882	1383	Guy de Maupassant : La veillée. Texte publié dans Gil Blas du 7 juin 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon. Il a également été repris dans La Revue des journaux et des livres des 10 et 17 janvier 1885, dans les Annales politiques et littéraires du 1er mars 1885, dans le supplément littéraire illustré du Petit Parisien du 5 janvier 1890 et dans La Vie populaire du 10 mars 1892.
baiser	Le baiser	1882	1360	Guy de Maupassant : Le baiser. Texte publié dans Gil Blas du 14 novembre 1882, sous la signature de Maufrigneuse. Il a également été repris dans La Vie populaire du 10 avril 1884.
gateau	Le gâteau	1882	1514	Guy de Maupassant : Le gâteau. Texte publié dans Gil Blas du 19 janvier 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
lelit	Le lit	1882	1213	Guy de Maupassant : Le lit. Texte publié dans Gil Blas du 16 mars 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Mademoiselle Fifi (pp. 67-80). Il a également été repris dans La Lune troyenne du 19 janvier 1890.
loup	Le loup	1882	1896	Guy de Maupassant : Le loup. Texte publié dans Le Gaulois du 14 novembre 1882, puis publié dans le recueil Clair de lune (pp. 33-42). Il a également été repris dans La Vie populaire du 4 octobre 1888, dans Le Voleur du 20 juin 1889 sous le titre À propos de chasse, dans L’Écho de la semaine du 25 mai 1890, dans L’Intransigeant illustré du 12 février 1891 et dans le recueil Contes choisis (pp. 1-12), paru en novembre 1891.
pardon	Le pardon	1882	1923	Guy de Maupassant : Le pardon. Texte publié dans Le Gaulois du 16 octobre 1882, puis publié dans le recueil Clair de lune (pp. 79-89). Il a également été repris dans La Vie populaire du 1er novembre 1888, dans le supplément littéraire de La Lanterne du 12 mai 1889, dans le supplément littéraire illustré du Petit Parisien du 21 juillet 1889 et dans L’Intransigeant illustré du 11 juin 1891.
saut	Le saut du berger	1882	1345	Guy de Maupassant : Le saut du berger. Texte publié dans Gil Blas du 9 mars 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
testament	Le testament	1882	1641	Guy de Maupassant : Le testament. Texte publié dans Gil Blas du 7 novembre 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 183-196). Il a également été repris dans La Lecture du 25 mai 1890, dans le supplément littéraire illustré du Petit Parisien du 22 juin 1890 et dans L’Intransigeant illustré du 9 octobre 1890.
verrou	Le verrou	1882	1962	Guy de Maupassant : Le verrou. Texte publié dans Gil Blas du 25 juillet 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 219-233). Il a également été repris dans le supplément littéraire de La Lanterne du 4 mars 1888, dans La Lune troyenne du 4 août 1889 et dans Gil Blas illustré du 22 janvier 1893. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
voleur	Le voleur	1882	1574	Guy de Maupassant : Le voleur. Texte publié dans Gil Blas du 21 juin 1882, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 279-292). Il a également été repris dans La Semaine populaire du 5 février 1888, dans L’Intransigeant illustré du 18 septembre 1890, dans le supplément littéraire illustré du Petit Parisien du 9 novembre 1890 et dans le supplément littéraire de La Lanterne du 28 décembre 1890.
aveugle	L’aveugle	1882	1219	Guy de Maupassant : L’aveugle. Texte publié dans Le Gaulois du 31 mars 1882, puis publié dans le recueil posthume Le père Milon. Il a également été repris dans Le Voleur du 14 avril 1882.
enfant2	L’enfant	1882	2031	Guy de Maupassant : L’enfant. Texte publié dans Le Gaulois du 24 juillet 1882, puis publié dans le recueil Clair de lune (pp. 43-53). Il a également été repris dans La Vie populaire du 21 octobre 1888, dans le supplément littéraire de La Lanterne du 27 janvier 1889, dans Le Gaulois du 11 mars 1891, dans L’Intransigeant illustré du 12 mars 1891, dans Le Voleur du 12 mars 1891, dans L’Écho de la semaine du 15 mars 1891, dans le supplément littéraire illustré du Petit Parisien du 22 mars 1891 et dans La Lecture du 25 mars 1891.
femme	Ma femme	1882	2315	Guy de Maupassant : Ma femme. Texte publié dans Gil Blas du 5 décembre 1882, sous la signature de Maufrigneuse.
baptiste	Madame Baptiste	1882	2088	Guy de Maupassant : Madame Baptiste. Texte publié dans Gil Blas du 28 novembre 1882, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 35-52). Il a également été repris dans La Semaine populaire du 25 mars 1888, dans La Lune troyenne du 29 septembre 1889 et dans L’Intransigeant illustré du 11 décembre 1890.
fifi	Mademoiselle Fifi	1882	4490	Guy de Maupassant : Mademoiselle Fifi. Texte publié dans Gil Blas du 23 mars 1882, sous la signature de Maufrigneuse, puis publié dans le recueil auquel il donne son nom, Mademoiselle Fifi (pp. 5-45). Il a également été repris dans le recueil Contes et nouvelles (Charpentier, 1885), dans La Semaine populaire du 6 mai 1888 et dans le recueil Contes choisis (pp. 1-22), paru en août 1892.
magnetisme	Magnétisme	1882	1516	Guy de Maupassant : Magnétisme. Texte publié dans Gil Blas du 5 avril 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
marroca	Marroca	1882	3318	Guy de Maupassant : Marroca. Texte publié sous le titre Marauca dans Gil Blas du 2 mars 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Mademoiselle Fifi (pp. 141-172). Il a également été repris dans le recueil Contes et nouvelles (Charpentier, 1885) et dans La Semaine populaire des 20 et 27 mai 1888.
menuet	Menuet	1882	1508	Guy de Maupassant : Menuet. Texte publié dans Le Gaulois du 20 novembre 1882, puis publié dans le recueil Les contes de la bécasse (pp. 69-82). Il a également été repris dans La Vie populaire du 11 novembre 1883, dans le recueil Contes choisis (pp. 49-58), dans L’Écho de la semaine du 2 décembre 1888, dans L’Intransigeant illustré du 13 novembre 1890, dans La Vie de famille du 3 avril 1891, dans le supplément littéraire illustré du Petit Parisien du 14 juin 1891, dans Le Magasin littéraire de 1891 et dans le supplément illustré du Petit Journal du 4 juillet 1891.
sosthene	Mon oncle Sosthène	1882	2542	Guy de Maupassant : Mon oncle Sosthène. Texte publié dans Gil Blas du 12 août 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les sœurs Rondoli (pp. 119-136). Il a également été repris dans La Vie populaire du 2 novembre 1884. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
mots	Mots d’amour	1882	1216	Guy de Maupassant : Mots d’amour. Texte publié dans Gil Blas du 2 février 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Mademoiselle Fifi (pp. 101-115). Il a également été repris dans La Lune troyenne du 7 juillet 1889.
nuitnoel	Nuit de Noël	1882	1496	Guy de Maupassant : Nuit de Noël. Texte publié dans Gil Blas du 26 décembre 1882, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 293-306).
pierrot	Pierrot	1882	1833	Guy de Maupassant : Pierrot. Texte publié dans Le Gaulois du 9 octobre 1882, puis publié dans le recueil Les contes de la bécasse (pp. 53-67). Il a également été repris dans Le Voleur du 10 novembre 1882, dans La Vie populaire du 28 octobre 1883, dans le recueil Contes choisis (pp. 115-125), dans L’Intransigeant illustré du 19 mars 1891, dans le supplément illustré du Petit Journal du 27 février 1892 et dans Le Magasin littéraire de janvier 1893.
petition	Pétition d’un viveur malgré lui	1882	1443	Guy de Maupassant : Pétition d’un viveur malgré lui. Texte publié dans Gil Blas du 12 janvier 1882, sous la signature de Maufrigneuse.
rencontre2	Rencontre	1882	1482	Guy de Maupassant : Rencontre. Texte publié dans Le Gaulois du 26 mai 1882.
rouerie	Rouerie	1882	1973	Guy de Maupassant : Rouerie. Texte publié dans Gil Blas du 12 décembre 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
reves	Rêves	1882	1183	Guy de Maupassant : Rêves. Texte publié dans Le Gaulois du 8 juin 1882, puis publié dans le recueil posthume Le père Milon.
souvenir3	Souvenir	1882	1576	Guy de Maupassant : Souvenir. Texte publié dans Gil Blas du 16 février 1882, sous la signature de Maufrigneuse.
bandit	Un bandit corse	1882	1261	Guy de Maupassant : Un bandit corse. Texte publié dans Gil Blas du 25 mai 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
coq	Un coq chanta	1882	1584	Guy de Maupassant : Un coq chanta. Texte publié dans Gil Blas du 5 juillet 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 215-228). Il a également été repris dans La Vie populaire du 13 janvier 1884 et dans La Lune troyenne du 10 février 1889.
drame2	Un drame vrai	1882	883	Guy de Maupassant : Un drame vrai. Texte publié dans Le Gaulois du 6 août 1882.
fils	Un fils	1882	3454	Guy de Maupassant : Un fils. Texte publié sous le titre Père inconnu dans Gil Blas du 19 avril 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 229-254). Il a également été repris dans La Vie populaire du 2 mars 1884.
million	Un million	1882	1702	Guy de Maupassant : Un million. Texte publié dans Gil Blas du 2 novembre 1882, sous la signature de Maufrigneuse. Il a également été repris dans La Vie populaire du 10 février 1884.
normand	Un normand	1882	2198	Guy de Maupassant : Un normand. Texte publié dans Gil Blas du 10 octobre 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Les contes de la bécasse (pp. 165-182). Il a également été repris dans La Vie populaire du 14 octobre 1883 et dans L’Intransigeant illustré du 7 mai 1891.
parricide	Un parricide	1882	2108	Guy de Maupassant : Un parricide. Texte publié dans Le Gaulois du 25 septembre 1882, puis publié dans le recueil Contes du jour et de la nuit (pp. 229-245). Il a également été repris dans La Vie populaire du 16 août 1888 et dans le recueil Histoire d’une fille de ferme (pp. 207-219).
reveillon	Un réveillon	1882	1903	Guy de Maupassant : Un réveillon. Texte publié dans Gil Blas du 5 janvier 1882, sous la signature de Maufrigneuse, puis publié dans le recueil Mademoiselle Fifi (pp. 81-100). Il a également été repris dans L’Intransigeant illustré du 23 avril 1891.
vieux	Un vieux	1882	1430	Guy de Maupassant : Un vieux. Texte publié dans Gil Blas du 26 septembre 1882, sous la signature de Maufrigneuse.
passion	Une passion	1882	2578	Guy de Maupassant : Une passion. Texte publié dans Gil Blas du 22 août 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
ruse	Une ruse	1882	1953	Guy de Maupassant : Une ruse. Texte publié dans Gil Blas du 25 septembre 1882, sous la signature de Maufrigneuse, puis publié dans la 2ème édition du recueil Mademoiselle Fifi (pp. 173-188). Il a également été repris dans Le Voleur du 6 octobre 1882 sous le titre Un drame de ménage, dans le supplément hebdomadaire de La Lanterne du 17 août 1884 et dans L’Intransigeant illustré du 23 octobre 1890.
veuve	Une veuve	1882	1880	Guy de Maupassant : Une veuve. Texte publié dans Le Gaulois du 1er septembre 1882, puis publié dans le recueil Clair de lune (pp. 101-109). Il a également été repris dans le supplément littéraire de La Lanterne du 7 avril 1889, dans les Annales politiques et littéraires du 27 octobre 1889, dans L’Intransigeant illustré du 5 février 1891 et dans La Vie populaire du 2 avril 1893.
objets	Vieux objets	1882	1319	Guy de Maupassant : Vieux objets. Texte publié dans Gil Blas du 29 mars 1882, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le père Milon.
noce	Voyage de noce	1882	1545	Guy de Maupassant : Voyage de noce. Texte publié dans Le Gaulois du 18 août 1882.
yveline	Yveline Samoris	1882	1276	Guy de Maupassant : Yveline Samoris. Texte publié dans Le Gaulois du 20 décembre 1882, puis publié dans le recueil posthume Le père Milon.
apparition	Apparition	1883	2572	Guy de Maupassant : Apparition. Texte publié dans Le Gaulois du 4 avril 1883, puis publié dans le recueil Clair de lune (pp. 133-145). Il a également été repris dans le supplément littéraire de La Lanterne du 26 mai 1889, dans Le Voleur du 27 août 1891, dans La Vie de famille du 30 août 1891 et dans les Annales politiques et littéraires du 20 décembre 1891.
bordlit	Au bord du lit	1883	2137	Guy de Maupassant : Au bord du lit. Texte publié dans Gil Blas du 23 octobre 1883, sous la signature de Maufrigneuse, puis publié dans le recueil Monsieur Parent (pp. 289-303). Il a également été repris dans le supplément littéraire de La Lanterne du 26 août 1888.
mort	Auprès d’un mort	1883	1313	Guy de Maupassant : Auprès d’un mort. Texte publié dans Gil Blas du 30 janvier 1883, sous la signature de Maufrigneuse, puis publié dans le recueil posthume Le colporteur (pp. 21-31).
eaux	Aux eaux	1883	3282	Guy de Maupassant : Aux eaux. Texte publié dans Le Gaulois du 24 juillet 1883, puis publié dans le recueil Au soleil (pp. 225-247), essentiellement pour donner plus d’épaisseur au volume, ce texte n’ayant aucun rapport avec les chapitres algériens.
denis	Denis	1883	2288	Guy de Maupassant : Denis. Texte publié dans Le Gaulois du 28 juin 1883, puis publié dans le recueil Miss Harriet (pp. 185-202). Il a également été repris dans La Vie populaire du 30 octobre 1884, dans La Semaine populaire du 4 janvier 1885, dans le recueil Contes choisis (pp. 141-156) et dans L’Écho de la semaine du 30 juin 1889. Vous pouvez consulter la version illustrée par Charles Morel, aux éditions P. Ollendorff, 1901.
